time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	4	0.5	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.837364	0.637988	4.66428	0.0135836	0.00525898	radar	5.01078	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.17385	0.481073	6.13151	-0.666163	-0.0410507	lidar	6.09179	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	0.966918	0.467719	-2.95969	0.83395	37.7439	radar	6345.65	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.65063	0.62469	7.54711	7.63201	119.371	lidar	207249	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.62633	0.497455	2.32685	12.8338	81.5288	radar	1.39703e+07	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.18882	0.648739	28.185	18.6578	114.698	lidar	5.00471e+07	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	1.97222	0.552645	13.6865	24.28	84.6298	radar	1.67006e+09	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.65526	0.66598	-737.159	-21.9156	-872.972	lidar	1.67554e+14	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.52997	5.40003	727.623	-68.4153	-997.236	radar	1.72719e+12	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.01222	0.637046	-612.166	-118.534	-1000.78	lidar	6.30872e+22	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	50.5144	-43.7015	542.023	-171.692	-1295.17	radar	4.72252e+14	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.89365	0.311793	-1481.22	-243.266	-1386.04	lidar	7.93278e+10	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	107.609	24.1653	1559.88	-306.75	-1268.57	radar	1.35273e+13	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.30935	0.578564	-4189.95	-366.993	-1226.15	lidar	1.42589e+13	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	51.6016	-72.655	4191.39	-428.756	-1211.29	radar	1.15731e+12	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.35143	0.899174	-7260.27	-489.919	-1219.25	lidar	8.33775e+13	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	181.977	-1096.43	6853.77	-547.491	-1328.54	radar	9.83242e+14	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.51894	0.648233	-44581.2	-608.777	-1259.99	lidar	6.57576e+17	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	3650.65	-4397.93	44494.9	-663.359	-1128.35	radar	6.91878e+14	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	6.022	0.708619	166355	-722.745	-1167.92	lidar	3.7072e+14	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	361.741	1976.38	-166368	-781.183	-1188.91	radar	5.03893e+13	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.34249	0.948833	242599	-840.856	-1191.94	lidar	1.01893e+14	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	10389.5	-5402.51	-242683	-912.07	-1579.34	radar	1.9184e+14	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.78214	0.714036	-161599	-989.578	-1559.88	lidar	5.1563e+12	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	-4.67909	506.186	161579	-1069.16	-1628.25	radar	4.21881e+13	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.13735	0.957217	-144158	-1150.66	-1629.52	lidar	3.7638e+13	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	11813.3	10541.1	144195	-1239.12	-1733.2	radar	5.388e+14	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.80533	0.719126	156507	-1331.58	-1810.44	lidar	5.7811e+13	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	1222.81	-2471.41	-156502	-1423.96	-1856.82	radar	3.91899e+13	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.24796	0.840322	264307	-1516.57	-1853.74	lidar	7.09703e+13	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	23960.8	-22548.9	-264254	-1606.78	-1953.61	radar	7.61516e+14	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.74615	1.04858	1.29459e+06	-1709.11	-2015.54	lidar	7.37334e+18	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	1018.62	12584.9	-1.29455e+06	-1805.71	-1864.29	radar	2.68545e+15	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.25579	1.04913	1.65141e+06	-1899.34	-1869.8	lidar	3.4725e+15	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	157500	-39610.9	-1.65156e+06	-1991.92	-1990.71	radar	4.76945e+15	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	6822.04	-1701.55	-2.99866e+06	-2786.86	-1643	lidar	2.20859e+30	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	17972.7	65224.4	3.16908e+06	-2866.5	-1578.71	radar	1.56522e+16	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.2492	1.45907	-757769	-2946.02	-1586.46	lidar	6.17524e+15	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	67699.9	-66211.8	757630	-3021.84	-1646.18	radar	1.5735e+15	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.7313	1.45265	-2.30371e+06	-3097.3	-1554.93	lidar	7.58023e+15	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	103705	-324261	2.30304e+06	-3173.08	-1712.42	radar	9.40483e+15	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.587	1.61462	-7.30811e+06	-3250.45	-1602.47	lidar	4.36178e+16	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	314285	-160378	7.30829e+06	-3331.55	-1564.39	radar	8.55534e+16	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.7788	1.74591	-1.50362e+07	-3412.19	-1596.69	lidar	9.15622e+17	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	786688	1.74168e+06	1.50359e+07	-3494.29	-1483.74	radar	3.6241e+17	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3226	1.78353	1.55589e+07	-3575.46	-1576.9	lidar	1.7138e+17	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	118165	345912	-1.55589e+07	-3650.66	-1468.74	radar	3.87352e+17	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.5924	2.17509	1.26894e+07	-3722.72	-1450.32	lidar	3.19205e+17	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	-133075	1.90659e+06	-1.26885e+07	-3794.48	-1179.26	radar	2.58566e+17	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.0875	2.40708	-2.36548e+07	-3845.49	-1073.28	lidar	4.82081e+16	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	585077	3.16032e+06	2.36543e+07	-3898.07	-814.173	radar	8.95312e+17	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.836	2.62479	7.13743e+07	-3933.3	-741.325	lidar	9.11067e+17	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	-510402	819086	-7.13742e+07	-3971.92	-821.187	radar	8.15085e+18	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.2106	2.94207	1.53766e+06	-4009.84	-779.367	lidar	5.26126e+18	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	96226.2	41153.4	-1.53251e+06	-4047.14	-821.376	radar	3.96459e+15	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.4628	2.90209	5.18819e+06	-4085.06	-782.57	lidar	5.72952e+24	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	272953	178068	-5.18849e+06	-4122.79	-827.096	radar	4.32357e+16	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0261	3.5067	5.5894e+06	-4160.34	-776.115	lidar	6.27964e+16	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	244035	203994	-5.58966e+06	-4197.51	-801.258	radar	4.99971e+16	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.5236	3.82936	-863673	-4234.64	-762.223	lidar	1.20813e+16	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	30273.4	-131636	862358	-4267.34	-795.855	radar	2.21755e+15	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9774	4.00094	-6.04043e+06	-4304.45	-760.094	lidar	1.91852e+16	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	329134	653351	6.0403e+06	-4341.71	-536.505	radar	5.89928e+16	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3313	4.44499	-1.85626e+07	-4375.1	-624.049	lidar	2.42505e+17	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	742631	-340053	1.85628e+07	-4411.79	-773.301	radar	5.51399e+17	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6039	4.67344	-4.61325e+07	-4451.87	-792.183	lidar	1.6742e+18	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	285853	1.1866e+06	4.61326e+07	-4491.31	-827.446	radar	3.40517e+18	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	16.9955	5.21099	-9.43073e+07	-4532.94	-830.879	lidar	7.88938e+18	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	212216	-527629	9.43073e+07	-4573.42	-778.893	radar	1.42302e+19	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.2894	5.43542	-8.63864e+07	-4612.03	-774.371	lidar	1.30601e+19	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	1.96155e+06	1.15421e+07	8.63859e+07	-4652.84	-642.555	radar	1.19402e+19	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.7853	5.62476	-7.39098e+07	-4676.79	-533.278	lidar	1.0282e+19	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	2.25849e+06	-1.33578e+06	7.391e+07	-4704.13	-503.615	radar	8.74028e+18	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.1263	6.16985	1.08491e+07	-4728.06	-486.95	lidar	1.67734e+18	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	-59885.7	1.52972e+06	-1.08482e+07	-4756.23	-414.134	radar	1.89144e+17	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2164	6.66138	4.46671e+06	-4768.52	-301.887	lidar	1.00353e+17	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	5330.92	-11808.1	-4.4667e+06	-4785.09	-356.345	radar	3.19227e+16	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5422	6.76013	4.86082e+06	-4802.79	-354.839	lidar	3.48012e+16	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	441099	-519929	-4.86005e+06	-4818.23	-485.802	radar	3.78497e+16	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	19.1441	7.18344	1.21948e+07	-4850.6	-593.363	lidar	1.40205e+17	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	-4596.56	218583	-1.21949e+07	-4879.73	-600.544	radar	2.37955e+17	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0138	7.8688	5.58807e+06	-4910.46	-609.938	lidar	1.34828e+17	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	109932	721448	-5.58765e+06	-4944.33	-536.044	radar	5.06739e+16	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.132	8.12845	-1.28946e+07	-4965.07	-455.198	lidar	2.71694e+16	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	870016	191523	1.28951e+07	-4988.18	-358.621	radar	2.66244e+17	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.347	8.30741	-4.49145e+07	-5004.29	-334.378	lidar	1.337e+18	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	-79940.5	293187	4.49145e+07	-5020.25	-314.725	radar	3.2277e+18	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	20.0039	8.8906	-4.19204e+07	-5036.38	-319.97	lidar	3.01615e+18	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	704875	1.64749e+06	4.19207e+07	-5048.18	-220.398	radar	2.81181e+18	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	20.1574	9.45949	7.84861e+06	-5057.35	-195.797	lidar	4.64391e+17	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	34236.8	-48594.5	-7.84864e+06	-5064.68	-85.1134	radar	9.85639e+16	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.1573	9.90876	5.79627e+06	-5069.16	-88.1712	lidar	7.44741e+16	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	235203	-47871.8	-5.79651e+06	-5074.08	-42.5263	radar	5.3829e+16	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.166	10.4687	1.51845e+07	-5076.73	-49.4736	lidar	1.76145e+17	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	-26405.8	316938	-1.51846e+07	-5080.05	-116.518	radar	3.68915e+17	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.371	11.0109	1.2896e+07	-5087.11	-132.918	lidar	3.15494e+17	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	841221	706096	-1.28964e+07	-5092.83	40.5424	radar	2.66402e+17	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3164	11.3483	1.58949e+08	-5100.76	-88.6271	lidar	1.20073e+19	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	4.59995e+06	-1.83762e+06	-1.58948e+08	-5105.52	-52.1678	radar	4.04234e+19	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.6141	11.9422	3.568e+08	-5108.23	-53.5059	lidar	1.06398e+20	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
